Exercise ID,Exercise Name,Main Category,Body Region,Movement Pattern,Primary Muscle,Secondary Muscles,Equipment,Setup / Angle,Grip / Stance,Laterality,Difficulty,Load Type,Track By,Primary Use,Progression Family,App Tags,Notes
EX-0210,Alternating Dumbbell Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Dumbbells,Standing/seated,Alternating,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0211,Incline Dumbbell Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Dumbbells,Incline bench,Supinated,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0212,Hammer Curl,Strength,Arms,Elbow Flexion,Brachialis / Forearms,Biceps; Forearms,Dumbbells,Standing/seated,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0213,Cross-Body Hammer Curl,Strength,Arms,Elbow Flexion,Brachialis / Forearms,Biceps; Forearms,Dumbbells,Standing,Neutral cross-body,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0214,Concentration Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Dumbbell,Seated,Supinated,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0215,Dumbbell Preacher Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Dumbbell,Preacher bench,Single-arm,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0216,Zottman Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Dumbbells,Standing/seated,Supinate up/pronate down,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0217,Bayesian Cable Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Cable,Behind body,Single handle,Bilateral,Intermediate,Cable Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0218,Cable Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Cable,Low pulley,Straight bar,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0219,Rope Cable Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Cable,Low pulley,Rope/neutral,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0220,Single-Arm Cable Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Cable,Low pulley,Single handle,Unilateral-capable,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0221,High Cable Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Cable,High pulleys,Dual handles,Bilateral,Beginner,Cable Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0222,Machine Biceps Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Machine,Seated,Handles,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0223,Band Curl,Strength,Arms,Elbow Flexion,Biceps,Forearms; Brachialis,Resistance band,Standing,Band,Bilateral,Beginner,Band Load,Sets x Reps x Load,Hypertrophy,Curl,biceps;arms,
EX-0224,Seated Wrist Curl,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Barbell / Dumbbells,Seated,Supinated,Bilateral,Beginner,External Load,Sets x Reps x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0225,Seated Reverse Wrist Curl,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Barbell / Dumbbells,Seated,Pronated,Bilateral,Beginner,External Load,Sets x Reps x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0226,Behind-the-Back Wrist Curl,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Barbell,Standing,Supinated,Bilateral,Beginner,External Load,Sets x Reps x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0227,Dumbbell Wrist Curl,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Dumbbell,Seated,Single-arm,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0228,Dumbbell Reverse Wrist Curl,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Dumbbell,Seated,Single-arm,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0229,Wrist Roller,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Wrist roller,Standing,Roller,Bilateral,Beginner,External Load,Sets x Reps x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0230,Plate Pinch Hold,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Weight plates,Standing,Pinch,Bilateral,Beginner,External Load,Sets x Hold Time,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0231,Farmer's Carry,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Dumbbells / Kettlebells / Trap bar,Walking,Neutral,Bilateral,Beginner,External Load,Sets x Distance x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0232,Suitcase Carry,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Dumbbell / Kettlebell,Walking,Single-arm,Unilateral-capable,Beginner,External Load,Sets x Distance x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0233,Dead Hang,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Pull-up bar,Hanging,Overhand,Bilateral,Beginner,Bodyweight,Sets x Hold Time,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0234,Towel Dead Hang,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Towel / Pull-up bar,Hanging,Towel grip,Bilateral,Beginner,Bodyweight,Sets x Hold Time,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0235,Gripper Squeeze,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Hand gripper,Seated/standing,Crush,Bilateral,Beginner,External Load,Sets x Reps x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0236,Hammer Pronation,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Hammer / Dumbbell,Seated,Lever,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0237,Hammer Supination,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Hammer / Dumbbell,Seated,Lever,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0238,Radial Deviation Raise,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Dumbbell / Hammer,Seated,Thumb-up,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0239,Ulnar Deviation Raise,Strength,Arms / Grip,Grip / Wrist,Forearms,Hands; Traps; Core,Dumbbell / Hammer,Seated,Pinky-up,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Grip / Hypertrophy / Prehab,Grip & Forearm,forearms;grip,
EX-0240,Back Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Barbell,Back rack,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0241,High-Bar Back Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Barbell,High-bar,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0242,Low-Bar Back Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Barbell,Low-bar,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0243,Front Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Barbell,Front rack,Clean/cross-arm,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0244,Paused Back Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Barbell,Back rack,Pause,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0245,Tempo Back Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Barbell,Back rack,Tempo,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0246,Box Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Barbell / Box,Box,Sit-back,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0247,Pin Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Barbell / Rack,Pins,Dead-stop,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0248,Zercher Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Barbell,Elbow cradle,Zercher,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0249,Overhead Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Barbell,Overhead,Snatch grip,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0250,Safety Bar Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Safety squat bar,Back rack,Handles,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0251,Goblet Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Dumbbell / Kettlebell,Front hold,Goblet,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0252,Double Kettlebell Front Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Kettlebells,Front rack,Neutral,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0253,Dumbbell Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Dumbbells,Side/front hold,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0254,Smith Machine Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Smith machine,Back rack,Standard,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0255,Hack Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Hack squat machine,Machine,Platform,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0256,Pendulum Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Pendulum squat machine,Machine,Platform,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0257,Belt Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Belt squat machine,Belt,Platform,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0258,Leg Press,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Leg press machine,Machine,Standard stance,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0259,High-Foot Leg Press,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Leg press machine,Machine,High stance,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0260,Low-Foot Leg Press,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Leg press machine,Machine,Low stance,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0261,Wide-Stance Leg Press,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Leg press machine,Machine,Wide stance,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0262,Single-Leg Press,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Leg press machine,Machine,Single-leg,Unilateral,Beginner,Machine / External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0263,Machine Squat Press,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Machine,Machine,Platform,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0264,Sissy Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Sissy squat / Bodyweight,Standing,Knee-dominant,Bilateral,Intermediate,External Load,Sets x Reps,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0265,Spanish Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Resistance band / Strap,Standing,Band behind knees,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0266,Wall Sit,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Bodyweight,Wall,Isometric,Bilateral,Beginner,Bodyweight,Sets x Hold Time,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0267,Cossack Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Bodyweight / Load,Lateral,Wide stance,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0268,Pistol Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Bodyweight,Single-leg,Single-leg,Unilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0269,Assisted Pistol Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Bodyweight / Support,Single-leg,Assisted,Unilateral,Intermediate,External Load,Sets x Reps,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0270,Shrimp Squat,Strength,Lower Body,Squat / Knee Dominant,Quads,Glutes; Adductors; Core; Hamstrings,Bodyweight,Single-leg,Single-leg,Unilateral,Advanced,Bodyweight,Sets x Reps,Strength / Hypertrophy,Squat / Leg Press,legs;quads;squat,
EX-0271,Forward Lunge,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Bodyweight,Standing,Alternating,Unilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0272,Reverse Lunge,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Bodyweight,Standing,Alternating,Unilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0273,Walking Lunge,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Bodyweight,Walking,Alternating,Unilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0274,Static Lunge,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Bodyweight,Split stance,Static,Unilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0275,Barbell Lunge,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Barbell,Back rack,Alternating/static,Unilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0276,Dumbbell Lunge,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells,Standing,Alternating/static,Unilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0277,Deficit Reverse Lunge,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Platform,Deficit,Alternating,Unilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0278,Lateral Lunge,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Bodyweight,Lateral,Side step,Unilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0279,Curtsy Lunge,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Bodyweight,Cross-behind,Curtsy,Unilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0280,Bulgarian Split Squat,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Barbell,Rear-foot elevated,Split stance,Unilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0281,Front-Foot Elevated Split Squat,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Platform,Front-foot elevated,Split stance,Unilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0282,Rear-Foot Elevated Split Squat,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Bench,Rear-foot elevated,Split stance,Unilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0283,Step-Up,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Box,Box,Step,Unilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0284,High Step-Up,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Box,High box,Step,Unilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0285,Lateral Step-Up,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Dumbbells / Box,Side-on box,Lateral,Unilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0286,Box Step-Down,Strength,Lower Body,Single-Leg Squat / Lunge,Quads / Glutes,Hamstrings; Adductors; Calves; Core,Bodyweight / Box,Box,Controlled eccentric,Unilateral,Beginner,Bodyweight / External Load,Sets x Reps x Load,Strength / Hypertrophy / Balance,Lunge / Split Squat,legs;single-leg;lunge,
EX-0287,Conventional Deadlift,Strength,Lower Body,Hip Hinge,Posterior Chain,Lower Back; Traps; Core; Forearms,Barbell,Floor,Double overhand/mixed,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0288,Sumo Deadlift,Strength,Lower Body,Hip Hinge,Posterior Chain,Lower Back; Traps; Core; Forearms,Barbell,Floor,Wide stance,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0289,Trap Bar Deadlift,Strength,Lower Body,Hip Hinge,Posterior Chain,Lower Back; Traps; Core; Forearms,Trap bar,Floor,Neutral handles,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0290,Romanian Deadlift,Strength,Lower Body,Hip Hinge,Hamstrings / Glutes,Lower Back; Traps; Core; Forearms,Barbell,Standing,Hip hinge,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0291,Stiff-Leg Deadlift,Strength,Lower Body,Hip Hinge,Posterior Chain,Lower Back; Traps; Core; Forearms,Barbell,Standing,Straight-leg,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0292,Deficit Deadlift,Strength,Lower Body,Hip Hinge,Posterior Chain,Lower Back; Traps; Core; Forearms,Barbell / Platform,Deficit,Standard/sumo,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0293,Rack Pull,Strength,Lower Body,Hip Hinge,Hamstrings / Glutes,Lower Back; Traps; Core; Forearms,Barbell / Rack,Rack height,Standard,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0294,Block Pull,Strength,Lower Body,Hip Hinge,Hamstrings / Glutes,Lower Back; Traps; Core; Forearms,Barbell / Blocks,Blocks,Standard,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0295,Snatch-Grip Deadlift,Strength,Lower Body,Hip Hinge,Posterior Chain,Lower Back; Traps; Core; Forearms,Barbell,Floor,Wide grip,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0296,Dumbbell Romanian Deadlift,Strength,Lower Body,Hip Hinge,Hamstrings / Glutes,Lower Back; Traps; Core; Forearms,Dumbbells,Standing,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0297,Single-Leg Romanian Deadlift,Strength,Lower Body,Hip Hinge,Hamstrings / Glutes,Lower Back; Traps; Core; Forearms,Dumbbell / Kettlebell,Single-leg,Single-leg,Unilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0298,Kettlebell Deadlift,Strength,Lower Body,Hip Hinge,Posterior Chain,Lower Back; Traps; Core; Forearms,Kettlebell,Floor,Neutral,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0299,Kettlebell Swing,Strength,Lower Body,Hip Hinge,Hamstrings / Glutes,Lower Back; Traps; Core; Forearms,Kettlebell,Standing,Two-hand,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0300,Single-Arm Kettlebell Swing,Strength,Lower Body,Hip Hinge,Hamstrings / Glutes,Lower Back; Traps; Core; Forearms,Kettlebell,Standing,Single-arm,Unilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0301,Barbell Good Morning,Strength,Lower Body,Hip Hinge,Hamstrings / Glutes,Lower Back; Traps; Core; Forearms,Barbell,Back rack,Hip hinge,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0302,Seated Good Morning,Strength,Lower Body,Hip Hinge,Hamstrings / Glutes,Lower Back; Traps; Core; Forearms,Barbell,Seated,Hip hinge,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0303,Cable Pull-Through,Strength,Lower Body,Hip Hinge,Hamstrings / Glutes,Lower Back; Traps; Core; Forearms,Cable,Low pulley,Rope,Bilateral,Beginner,External Load,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0304,Hip Hinge Drill,Strength,Lower Body,Hip Hinge,Hamstrings / Glutes,Lower Back; Traps; Core; Forearms,Dowel / Bodyweight,Standing,Patterning,Bilateral,Beginner,Bodyweight,Sets x Reps x Load,Strength / Hypertrophy / Power,Deadlift / Hinge,legs;hinge;posterior-chain,
EX-0305,Lying Leg Curl,Strength,Lower Body,Knee Flexion,Hamstrings,Calves; Glutes,Machine,Lying,Pads,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Injury Prevention,Leg Curl,hamstrings;posterior-chain,
EX-0306,Seated Leg Curl,Strength,Lower Body,Knee Flexion,Hamstrings,Calves; Glutes,Machine,Seated,Pads,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Injury Prevention,Leg Curl,hamstrings;posterior-chain,
EX-0307,Standing Single-Leg Curl,Strength,Lower Body,Knee Flexion,Hamstrings,Calves; Glutes,Machine,Standing,Single-leg,Unilateral-capable,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Injury Prevention,Leg Curl,hamstrings;posterior-chain,
EX-0308,Nordic Hamstring Curl,Strength,Lower Body,Knee Flexion,Hamstrings,Calves; Glutes,Bodyweight / Anchor,Kneeling,Eccentric,Bilateral,Advanced,Bodyweight / External Load,Sets x Reps,Hypertrophy / Injury Prevention,Leg Curl,hamstrings;posterior-chain,
