food_id,food_code,duplicate_code_sequence,source_row_index,food_name,description,group_code,previous_code,main_data_references,footnote,water_g_per_100g,energy_kcal_per_100g,energy_kj_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,starch_g_per_100g,sugars_g_per_100g,glucose_g_per_100g,fructose_g_per_100g,sucrose_g_per_100g,lactose_g_per_100g,alcohol_g_per_100g,fibre_nsp_g_per_100g,fibre_aoac_g_per_100g,fibre_g_per_100g,saturated_fat_g_per_100g,monounsaturated_fat_g_per_100g,polyunsaturated_fat_g_per_100g,trans_fat_g_per_100g,cholesterol_mg_per_100g,sodium_mg_per_100g,salt_g_per_100g,potassium_mg_per_100g,calcium_mg_per_100g,magnesium_mg_per_100g,phosphorus_mg_per_100g,iron_mg_per_100g,copper_mg_per_100g,zinc_mg_per_100g,selenium_ug_per_100g,iodine_ug_per_100g,vitamin_a_retinol_ug_per_100g,vitamin_d_ug_per_100g,vitamin_e_mg_per_100g,vitamin_k1_ug_per_100g,thiamin_mg_per_100g,riboflavin_mg_per_100g,niacin_mg_per_100g,vitamin_b6_mg_per_100g,vitamin_b12_ug_per_100g,folate_ug_per_100g,vitamin_c_mg_per_100g
19-581,19-581,1,1178,Frankfurter with bun,Recipe,MI,19-581,Updated 2014,,41.5,264.0,1113.0,10.7,9.8,35.6,33.4,2.1,0.2,0.1,0.0,0.3,,1.4,1.8,1.8,3.32,4.03,1.51,0.04,23.9,504.0,1.26,153.0,130.0,19.0,131.0,1.37,0.12,1.1,7.0,8.0,0.0,,0.34,,0.24,0.09,2.1,0.06,0.3,19.0,
19-582,19-582,1,1179,"Frankfurter with bun, ketchup, fried onions and mustard",Recipe,MI,19-367,Updated 2014,,56.6,194.0,814.0,6.8,7.4,26.5,19.0,6.7,1.8,1.5,2.4,0.2,0.0,1.3,2.0,2.0,2.08,2.81,1.96,0.02,13.4,472.0,1.18,184.0,89.0,19.0,93.0,1.04,0.1,0.7,4.0,5.0,0.0,,1.07,,0.23,0.06,1.4,0.07,0.2,13.0,
12-534,12-534,1,1180,"Fromage frais, fruit, children's, fortified","Including Munch Bunch, Petits Filous, Muller Little Stars and other/own brands",BNS,12-908,Industry data 2013; and estimates from analytical data,,77.9,99.0,417.0,5.8,2.9,13.2,1.4,11.8,,,,,0.0,,0.2,0.2,1.9,,,,,60.0,0.15,143.0,140.0,11.0,123.0,0.06,0.03,0.4,0.0,17.0,82.0,,0.15,,0.11,0.29,0.1,0.0,0.5,15.0,0.0
12-372,12-372,1,1181,"Fromage frais, virtually fat free, fruit","11 samples, 6 brands, including strawberry, raspberry, apricot and blackcherry flavour",BN,50-241 12-160,"Reviewed 2013. Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998; fats, inorganics and vitamins estimated from plain and fruit Milk Products and Eggs Supplement 12-160",,86.7,50.0,213.0,6.8,0.2,5.6,0.7,4.9,0.7,0.9,0.2,2.9,0.0,0.4,0.7,0.7,0.1,0.1,0.0,0.0,1.0,33.0,0.0825,110.0,87.0,8.0,110.0,0.1,0.01,0.3,2.0,,3.0,0.0,0.0,,0.03,0.37,0.1,0.07,1.4,15.0,0.0
12-528,12-528,1,1182,"Fromage frais, virtually fat free, natural","7 samples, 6 brands",BN,12-371,"Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998; vitamins and fats estimated from very low fat fromage frais 50-241",,87.2,49.0,208.0,7.7,0.1,4.6,0.2,4.4,0.2,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,37.0,0.0925,155.0,127.0,12.0,120.0,0.06,0.03,0.6,3.0,23.0,3.0,0.0,0.0,,0.13,0.2,0.1,0.01,1.0,15.0,0.0
14-336,14-336,1,1183,"Fruit cocktail, canned in juice, whole contents","10 samples, 6 brands. Drained proportion = 0.65",FA,14-096,"LGC, Nutritional composition of fruit products, 1985-1986; LGC, Fruit and vegetables, 1989-1990; and industry data, 2013",,86.9,45.0,194.0,0.4,0.0,11.7,0.0,11.7,5.2,5.7,0.8,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0075,95.0,9.0,7.0,14.0,0.4,0.04,0.1,0.0,,0.0,0.0,,,0.01,0.01,0.3,0.04,0.0,6.0,14.0
14-097,14-097,1,1184,"Fruit cocktail, canned in syrup, whole contents","Analysis and calculation from recipe proportions (pears 42%, peaches 41%, pineapple 8%, grapes 5% and cherries 4%). Drained proportion = 0.66",FA,50-892,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990; and calculated from recipe proportions","Calculated as pears 42%, peaches 41%, pineapple 8%, grapes 5% and cherries 4%",81.8,57.0,244.0,0.4,0.0,14.8,0.0,14.8,6.1,6.4,1.9,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0075,95.0,5.0,5.0,9.0,0.3,0.02,0.1,0.0,,0.0,0.0,,,0.02,0.01,0.4,0.03,0.0,5.0,4.0
12-232,12-232,1,1185,"Fruit fool, homemade",Recipe,BR,12-913,As Milk Products and Eggs Supplement (1989) 12-232. Fatty acid data is available for commercial fruit fool in Fatty Acid Supplement 12-913 (obsoleted) but is not comparableto this code.,,66.6,163.0,683.0,1.0,9.3,20.2,4.1,16.1,0.8,0.9,13.4,0.7,,1.2,,1.2,5.8,2.7,0.3,,24.0,13.0,0.0325,160.0,38.0,8.0,31.0,0.4,0.06,0.2,,,130.0,0.1,0.45,,0.02,0.06,0.2,0.03,0.0,,17.0
17-107,17-107,1,1186,Fruit gums/jellies,"11 samples, 10 brands; assorted flavours",SEC,50-1026,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992",,14.0,324.0,1383.0,6.5,0.0,79.5,1.9,58.7,6.3,0.0,46.4,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,30.0,0.075,8.0,5.0,1.0,4.0,0.1,0.02,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-673,17-673,1,1187,"Fruit juice drink, carbonated, no added sugar, ready to drink","Estimated from fruit juice drink, carbonated and from label data",PCA,,"Industry data, 2013",,99.4,2.0,10.0,0.0,0.0,0.6,0.0,0.6,0.1,0.2,0.3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17-735,17-735,1,1188,"Fruit juice drink, carbonated, ready to drink","Bottles and cans; orange, lemon, apple and tropical fruit flavours e.g. Citrus Spring, Fanta, Orangina and Tango",PCA,17-177,"Industry data, 1999 and 2013",,92.8,27.0,116.0,0.0,0.0,7.2,0.0,7.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.02,27.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17-742,17-742,1,1189,"Fruit juice drink, no added sugar, ready to drink","Typically less than 3% sugar, as purchased. 10 samples, 2 brands",PCC,17-196,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,96.6,4.0,18.0,0.2,0.0,0.9,0.0,0.9,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0125,48.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.1,0.01,0.0,2.0,5.0
17-847,17-847,1,1190,"Fruit juice drink/squash, diluted",Calculated from 50g concentrate to 200ml water,PCC,17-190,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,98.2,7.0,29.0,0.0,0.0,1.8,0.0,1.8,0.7,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.02,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,
17-846,17-846,1,1191,"Fruit juice drink/squash, no sugar added, diluted",Calculated from 50g concentrate to 200ml water,PCC,17-192,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,99.5,1.0,5.0,0.0,0.0,0.3,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.055,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
17-739,17-739,1,1192,"Fruit juice drink/squash, no sugar added, undiluted","10 samples, 2 brands; lemon, orange and mixed fruit flavours, typicall less than 3% sugar",PCC,17-191,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,97.3,6.0,25.0,0.1,0.0,1.4,0.0,1.4,0.5,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.275,31.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,0.01,0.0,2.0,
17-741,17-741,1,1193,"Fruit juice drink/squash, ready to drink","Lemon, orange, apple and mixed fruit flavours, as purchased",PCC,17-195,"LFRA, Nutritional analysis of soft drinks, 1993",,89.5,37.0,159.0,0.1,0.0,9.8,0.0,9.8,2.7,3.7,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0125,44.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.1,0.01,0.0,2.0,
17-738,17-738,1,1194,"Fruit juice drink/squash, undiluted","Lemon, orange, apple and mixed fruit flavours",PCC,17-189,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,91.0,34.0,144.0,0.1,0.0,8.9,0.0,8.9,3.7,3.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.1,27.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.1,0.01,0.0,2.0,
17-746,17-746,1,1195,"Fruit juice, mixed","Estimated from apple and orange juice and industry data, 2013",PE,,"DH, Nutrient analysis of fruit and vegetables, 2013; and industry data, 2013",,88.5,40.0,172.0,0.4,0.0,10.3,0.0,10.3,,,,0.0,0.0,,0.8,0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.005,123.0,7.0,7.0,11.0,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,0.17,0.02,0.3,0.06,0.0,11.0,33.0
17-824,17-824,1,1196,Fruit pastilles,6 samples of different brands; assorted flavours,SEC,17-108,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992",,9.1,327.0,1395.0,2.8,0.0,84.2,3.4,59.3,6.5,2.1,45.4,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,33.0,0.0825,28.0,28.0,6.0,4.0,0.4,0.04,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-333,14-333,1,1197,"Fruit salad, homemade","Recipe, including apples, oranges, bananas, kiwi fruit, grapes, strawberries, sugar and water",FA,14-303,Recipe from NDNS survey. Updated 2013,,82.6,59.0,252.0,0.7,0.3,14.3,0.3,14.0,3.3,4.6,6.2,0.0,0.0,1.1,,1.1,,,,0.0,0.0,1.0,0.0025,155.0,12.0,9.0,15.0,0.16,0.05,0.0,0.0,,0.0,0.0,,,0.09,0.03,0.3,0.09,0.0,,24.0
17-683,17-683,1,1198,"Fudge, homemade",Recipe,SEC,17-518,Updated 2013,,5.8,435.0,1836.0,3.4,13.1,80.8,0.0,80.8,0.0,0.0,75.7,5.0,0.0,0.0,0.0,0.0,8.29,3.42,0.43,,37.3,156.0,0.39,153.0,126.0,13.0,105.0,0.23,0.09,0.5,1.0,15.0,151.0,0.9,0.28,,0.02,0.17,0.1,0.03,0.3,4.0,0.0
15-806,15-806,1,1199,"Fu-fu, sweet potato, homemade",Recipe. West Indian/African dish. Sweet potato and rice flour.,DR,15-524,Updated 2014,,69.0,109.0,464.0,1.6,0.3,25.9,15.3,,,,,0.0,,2.3,,2.3,0.09,0.0,0.09,0.0,0.0,37.0,0.0925,295.0,23.0,43.0,57.0,0.81,0.15,,,,0.0,0.0,,,0.07,0.01,0.6,0.06,0.0,,15.0
15-807,15-807,1,1200,"Fu-fu, yam, homemade",Recipe. West Indian/African dish. Yam and rice flour.,DR,15-525,Updated 2014,,59.5,155.0,658.0,2.1,0.3,37.4,36.8,,,,,0.0,,1.5,,1.5,0.09,0.0,0.09,0.0,0.0,16.0,0.04,258.0,13.0,13.0,31.0,0.54,0.05,,,,0.0,0.0,,,0.14,0.01,0.4,0.13,0.0,,4.0
11-913,11-913,1,1201,Gajjeralla,"6 samples, 3 retail, 3 homemade, hot dessert of carrots cooked in cream",AS,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,36.5,272.0,1145.0,3.6,12.3,39.3,0.0,39.3,1.1,1.1,32.8,4.3,,1.6,2.1,2.1,4.81,3.21,3.41,0.15,74.1,93.0,0.2325,321.0,139.0,18.0,107.0,0.36,0.0,0.5,,,107.0,0.0,4.76,,0.03,0.14,0.6,,0.1,,0.0
13-829,13-829,1,1202,Garam masala,Literature sources,H,50-841,"Wharton et al. (1983) Sorrento Asian food tables: food tables, recipes and customs of mothers attending Sorrento Maternity Hospital, Birmingham, England",,10.1,379.0,1592.0,15.6,15.1,45.2,,,,,,0.0,0.0,,,,,,,0.0,0.0,97.0,0.2425,1450.0,760.0,330.0,390.0,32.6,1.62,3.8,,,0.0,0.0,,,0.35,0.33,2.5,,0.0,0.0,0.0
15-642,15-642,1,1203,"Garlic mushrooms, not coated, homemade",Recipe from review of recipe collection,DR,15-373,Updated 2013,,77.8,134.0,552.0,1.2,14.1,0.5,0.1,0.4,0.0,0.3,0.0,0.1,0.0,1.3,,1.3,8.85,3.54,0.6,0.49,36.1,128.0,0.32,409.0,6.0,11.0,105.0,0.24,0.3,0.6,18.0,9.0,162.0,0.2,0.32,,0.11,0.24,2.1,0.09,0.1,21.0,1.0
13-830,13-830,1,1204,Garlic powder,Literature sources and calculation from fresh,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2, and calculation from raw",,6.5,246.0,1045.0,18.7,1.2,42.7,38.5,4.2,1.1,1.6,1.5,0.0,,9.9,,9.9,0.2,0.0,0.4,,0.0,19.0,0.0475,1360.0,65.0,61.0,220.0,3.9,0.15,2.6,5.0,,0.0,0.0,0.03,,,0.12,0.7,0.99,0.0,0.0,0.0
13-244,13-244,1,1205,"Garlic, raw",Peeled cloves,DG,50-772,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,64.3,98.0,411.0,7.9,0.6,16.3,14.7,1.6,0.4,0.6,0.6,0.0,0.0,4.1,,4.1,0.1,0.0,0.3,0.0,0.0,4.0,0.01,620.0,19.0,25.0,170.0,1.9,0.06,1.0,2.0,3.0,0.0,0.0,0.01,,0.13,0.03,0.3,0.38,0.0,5.0,17.0
11-526,11-526,1,1206,"Gateau, chocolate based, frozen","11 samples, including Black Forest gateau.",AN,11-421,"RHM, Nutrient content of selected foods, 1995; fatty acid data from Fatty Acids Supplement (1998) 11-421",,43.1,295.0,1236.0,3.5,15.7,37.2,17.6,17.4,2.4,1.8,11.5,0.9,0.0,1.0,,1.0,10.3,3.73,1.17,0.38,55.7,173.0,0.4325,189.0,49.0,20.0,153.0,1.5,0.52,0.6,,,102.0,,1.01,,0.05,0.09,0.3,0.01,0.2,2.0,0.0
11-530,11-530,1,1207,"Gateau, fruit, frozen","10 samples; fruit and cream sponge including strawberry, orange and lemon and tropical fruit",AN,11-420,"RHM, Nutrient content of selected foods, 1995; fats from Fatty Acids Supplement (1998) 11-420",,51.9,248.0,1042.0,3.2,12.3,33.3,17.8,14.9,2.0,1.5,10.1,0.7,0.0,0.9,,0.9,7.89,3.24,1.1,0.3,52.5,128.0,0.32,107.0,40.0,10.0,110.0,0.7,0.38,0.7,,35.0,109.0,0.0,1.06,,0.03,0.06,0.4,0.02,0.2,6.0,4.0
17-360,17-360,1,1208,Gelatine,Literature sources,WY,50-1176,"Reviewed 2013. Lewis and English (1990) Composition of foods, Australia. Volume 5, nuts and legumes, beverages, miscellaneous foods. Department of Community Services and Health, Canberra",,13.0,338.0,1435.0,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.825,7.0,250.0,15.0,32.0,2.1,0.05,0.2,19.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-502,12-502,1,1209,Ghee made from vegetable oil,"5 samples, 3 products",BTM,17-009,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,0.0,900.0,3702.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,46.72,38.92,9.48,0.08,0.0,1.0,0.0025,1.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,8.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-640,17-640,1,1210,"Ghee, butter","10 samples, 7 retail, 3 homemade",OF,17-007,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,0.4,878.0,3611.0,0.1,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.42,25.7,4.56,2.1,246.0,1.0,0.0025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,922.0,1.1,5.76,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-246,13-246,1,1211,"Gherkins, pickled, drained","10 samples, 5 brands",DG,50-773,"Reviewed 2013. Vegetables, Herbs and Spices Supplement, 1991",,92.8,14.0,61.0,0.9,0.1,2.6,0.2,2.4,0.5,0.8,1.1,0.0,0.0,1.2,1.5,1.5,0.0,0.0,0.0,0.0,0.0,690.0,1.725,110.0,20.0,11.0,22.0,0.7,0.1,0.3,,,0.0,0.0,,,0.0,0.02,0.1,,0.0,6.0,1.0
13-245,13-245,1,1212,"Gherkins, raw",5 samples. Ends trimmed,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,95.5,12.0,49.0,1.0,0.1,1.8,0.2,1.6,0.8,0.8,0.0,0.0,,0.8,,0.8,0.0,0.0,0.0,,0.0,11.0,0.0275,230.0,25.0,15.0,28.0,0.3,0.01,0.2,,,0.0,0.0,,,0.01,0.05,0.2,,0.0,18.0,11.0
18-394,18-394,1,1213,"Giblets, chicken, boiled","Mixed sample including heart, liver and gizzard",MG,,"LGC, Poultry and game surveys, 1983-1984",,67.7,156.0,652.0,22.9,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,390.0,67.0,0.1675,210.0,10.0,18.0,280.0,6.8,0.21,3.5,,,,,,,0.16,2.15,5.2,0.48,15.0,420.0,6.0
18-393,18-393,1,1214,"Giblets, chicken, raw","Mixed sample including heart, liver and gizzard",MG,,"LGC, Poultry and game surveys, 1983-1984",,72.9,142.0,594.0,17.1,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,82.0,0.205,250.0,10.0,17.0,170.0,6.7,0.34,2.8,,,5500.0,,0.71,,0.11,0.13,5.9,0.29,14.0,530.0,12.0
18-395,18-395,1,1215,"Giblets, turkey, boiled","Mixed sample including heart, liver, gizzard and neck",MG,,"LGC, Poultry and game surveys, 1983-1984",,61.0,192.0,803.0,28.1,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,63.0,0.1575,210.0,34.0,20.0,230.0,5.8,0.3,5.6,,,3100.0,,0.07,,0.09,1.14,5.2,0.26,8.0,330.0,3.0
13-890,13-890,1,1216,"Ginger, fresh",Literature sources,H,13-831,"USDA SR26, 2013",,78.9,44.0,188.0,1.8,0.8,8.1,6.4,1.7,0.8,0.9,0.0,0.0,0.0,,2.0,2.0,0.2,0.15,0.15,0.0,0.0,13.0,0.0325,415.0,16.0,43.0,34.0,0.6,0.23,0.3,,,0.0,0.0,0.26,0.1,0.02,0.03,0.8,0.16,0.0,11.0,5.0
13-832,13-832,1,1217,"Ginger, ground",3 samples and literature sources,H,13-865,"Reviewed 2013. Vegetables, Herbs and Spices Supplement, 1991 (13-832) with fatty acids from LGC (1987) and phytosterols from 13-865, and Marsh et al (1977) Composition of foods: spices and herbs, raw, processed and prepared",,9.4,284.0,1208.0,7.4,3.3,60.0,40.2,19.8,9.6,10.2,0.0,0.0,0.0,,14.1,14.1,1.57,0.95,0.12,0.0,0.0,34.0,0.085,910.0,97.0,130.0,140.0,46.8,0.45,4.7,,,0.0,0.0,,,0.05,0.19,5.1,1.01,0.0,0.0,0.0
11-1079,11-1079,1,1218,"Gingerbread, homemade",Recipe,AN,11-644,Updated 2014,,17.8,371.0,1569.0,5.6,11.3,65.9,31.3,34.7,6.0,6.0,22.1,0.5,,1.2,1.7,1.7,3.74,4.87,1.8,0.03,46.9,253.0,0.6325,126.0,62.0,14.0,79.0,1.46,0.1,0.5,4.0,,,,,,0.09,0.1,0.7,0.08,0.4,7.0,0.0
17-049,17-049,1,1219,"Glucose liquid, BP",1 sample,SC,50-1000,"MW4, 1978. Values reviewed for Miscellaneous Foods Supplement, 1994",,20.4,318.0,1355.0,0.0,0.0,84.7,,40.2,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.375,3.0,8.0,2.0,11.0,0.5,0.09,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-375,18-375,1,1220,"Goose, meat, raw, fat and skin","5 samples; meat, fat and skin = 0.66 of dressed carcase",MCE,,"LGC, Poultry and game surveys, 1983-1984",,50.2,361.0,1494.0,16.5,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.5,17.3,3.7,0.0,80.0,61.0,0.1525,270.0,7.0,17.0,160.0,2.2,0.14,1.7,,,17.0,,,,0.12,0.3,3.6,0.35,2.0,8.0,0.0
18-376,18-376,1,1221,"Goose, meat, roasted, fat and skin","5 samples; meat, fat and skin = 0.65 of dressed carcase",MCE,50-449,"Reviewed 2013. LGC, Poultry and game surveys, 1983-1984",,51.1,301.0,1252.0,27.5,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,9.9,2.4,0.0,91.0,80.0,0.2,320.0,10.0,23.0,220.0,3.3,0.15,2.6,,,21.0,,,,0.12,0.51,4.6,0.42,2.0,12.0,0.0
14-100,14-100,1,1222,"Gooseberries, cooking, raw",Tops and tails removed,FA,50-895,"LGC, Nutritional composition of fresh fruit, 1985-1986",,90.1,19.0,81.0,1.1,0.4,3.0,0.0,3.0,1.3,1.6,0.0,0.0,0.0,2.4,,2.4,,,,0.0,0.0,2.0,0.005,210.0,28.0,7.0,34.0,0.3,0.06,0.1,0.0,0.0,0.0,0.0,0.37,,0.03,0.03,0.3,0.02,0.0,8.0,14.0
14-101,14-101,1,1223,"Gooseberries, cooking, stewed with sugar","1000g fruit, 150g water, 120g sugar",FA,50-896,"Reviewed 2013. LGC, Nutritional composition of fresh fruit, 1985-1986",,82.1,54.0,229.0,0.7,0.3,12.9,0.0,12.9,2.4,2.6,7.8,0.0,0.0,1.9,,1.9,,,,0.0,0.0,7.0,0.0175,140.0,19.0,6.0,22.0,0.3,0.07,0.1,0.0,0.0,0.0,0.0,0.29,,0.01,0.02,0.2,0.01,0.0,6.0,11.0
14-102,14-102,1,1224,"Gooseberries, cooking, stewed without sugar","500g fruit, 100g water and calculation from 14-101",FA,50-897,"LGC, Nutritional composition of fresh fruit, 1985-1986",,90.6,16.0,66.0,0.9,0.3,2.5,0.0,2.5,1.1,1.3,0.0,0.0,0.0,2.0,,2.0,,,,0.0,0.0,2.0,0.005,170.0,23.0,6.0,28.0,0.3,0.05,0.1,0.0,0.0,0.0,0.0,0.31,,0.01,0.02,0.2,0.01,0.0,6.0,11.0
14-103,14-103,1,1225,"Gooseberries, dessert, raw",Tops and tails removed,FA,,"LGC, Nutritional composition of fresh fruit, 1985-1986",,87.5,40.0,170.0,0.7,0.3,9.2,0.0,9.2,4.3,4.5,0.4,0.0,,2.4,,2.4,0.1,0.1,0.1,,0.0,1.0,0.0025,170.0,19.0,9.0,19.0,0.6,0.06,0.1,0.0,0.0,0.0,0.0,0.37,,0.03,0.03,0.3,0.02,0.0,8.0,26.0
19-583,19-583,1,1226,"Goulash, homemade",Recipe,MR,19-340,Updated 2014,,80.2,79.0,332.0,6.9,3.0,6.5,4.3,1.7,0.7,0.6,0.4,0.0,,0.8,,0.8,0.81,1.46,0.52,0.05,17.4,254.0,0.635,292.0,12.0,15.0,69.0,0.9,0.06,1.5,2.0,5.0,0.0,0.2,0.68,,0.08,0.06,1.2,0.23,0.0,10.0,8.0
13-248,13-248,1,1227,"Gourd, ash, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,96.1,12.0,51.0,0.5,0.1,2.3,,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,5.0,0.0125,110.0,23.0,,19.0,0.6,,,,,0.0,0.0,,,0.05,0.02,0.3,,0.0,,11.0
13-249,13-249,1,1228,"Gourd, bottle, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,95.7,13.0,56.0,0.4,0.1,2.7,,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,2.0,0.005,120.0,17.0,9.0,13.0,0.5,0.03,0.7,,,0.0,0.0,,,0.03,0.02,0.3,0.04,0.0,6.0,5.0
13-250,13-250,1,1229,"Gourd, kantola, raw","3 samples. Ends trimmed, seeds removed",DG,,"Vegetables, Herbs and Spices Supplement, 1991",,87.7,28.0,117.0,1.9,1.0,3.0,2.1,0.9,,,,0.0,,,,,,,,,0.0,8.0,0.02,420.0,31.0,43.0,63.0,2.0,0.1,0.6,,,0.0,0.0,,,0.1,0.14,0.5,,0.0,,295.0
13-252,13-252,1,1230,"Gourd, karela, raw",5 samples. Ends trimmed,DG,50-774,"Vegetables, Herbs and Spices Supplement, 1991",,93.3,11.0,47.0,1.6,0.2,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6,,2.6,,,,0.0,0.0,1.0,0.0025,330.0,19.0,31.0,48.0,1.4,0.27,0.4,,,0.0,0.0,,,0.09,0.05,0.4,,0.0,45.0,185.0
13-254,13-254,1,1231,"Gourd, ridge, raw",5 samples. Tough skin removed,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,94.2,17.0,70.0,0.8,0.1,3.3,0.2,3.1,1.5,1.6,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,2.0,0.005,130.0,12.0,16.0,32.0,0.3,0.1,0.2,,,0.0,0.0,,,0.07,0.02,0.4,,0.0,37.0,3.0
13-255,13-255,1,1232,"Gourd, snake, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,92.9,21.0,89.0,0.5,0.3,4.1,,,,,,0.0,,,,,,,,,0.0,25.0,0.0625,34.0,26.0,53.0,20.0,0.3,0.11,0.1,,,0.0,0.0,,,0.04,0.06,0.3,,0.0,15.0,0.0
